file_id,innings,max_partnership,total_partnerships,avg_partnership,partnerships_50plus,partnerships_100plus
1216543,2,46,8,18.5,0,0
1216544,1,82,7,20.714285714285715,1,0
1216544,2,67,3,50.0,1,0
1216545,1,62,5,28.4,1,0
1216545,2,92,4,36.25,1,0
1216546,1,48,5,32.8,0,0
1216546,2,69,6,27.833333333333332,1,0
1216547,1,81,4,50.25,2,0
1216547,2,119,6,33.5,1,1
1237177,1,62,6,33.333333333333336,2,0
1237177,2,71,9,15.88888888888889,1,0
1237178,1,41,8,16.375,0,0
1237178,2,65,5,26.4,1,0
1237180,1,86,4,47.25,2,0
1237180,2,57,9,19.11111111111111,1,0
1237181,1,96,7,22.285714285714285,1,0
1237181,2,47,6,26.166666666666668,0,0
1254058,1,70,9,17.666666666666668,1,0
1254058,2,52,9,17.77777777777778,1,0
1254059,1,63,7,26.857142857142858,3,0
1254059,2,138,4,47.5,1,1
1254060,1,93,6,31.166666666666668,2,0
1254060,2,92,6,29.5,1,0
1254061,1,105,6,36.833333333333336,2,1
1254061,2,53,7,31.0,2,0
1254062,1,76,10,15.2,1,0
1254062,2,72,8,17.75,1,0
1254063,1,44,8,18.625,0,0
1254063,2,83,10,14.3,1,0
1254064,1,51,9,16.333333333333332,1,0
1254064,2,48,8,18.75,0,0
1254065,1,31,9,11.777777777777779,0,0
1254065,2,66,5,21.4,1,0
1254066,1,55,6,25.0,1,0
1254066,2,67,10,13.7,1,0
1254067,1,86,5,40.8,3,0
1254067,2,41,9,18.444444444444443,0,0
1254068,1,122,5,39.0,1,1
1254068,2,59,5,39.6,1,0
1254069,1,45,10,18.8,0,0
1254069,2,42,10,14.3,0,0
1254070,1,58,10,13.7,1,0
1254070,2,53,5,27.6,1,0
1254071,1,24,10,12.0,0,0
1254071,2,73,2,60.5,1,0
1254072,1,115,4,55.0,2,1
1254072,2,81,10,20.2,1,0
1254073,1,66,10,17.7,1,0
1254073,2,181,1,181.0,1,1
1254074,1,79,7,18.714285714285715,1,0
1254074,2,79,2,66.0,2,0
1254075,1,33,9,14.777777777777779,0,0
1254075,2,45,5,26.8,0,0
1254076,1,74,5,38.2,1,0
1254076,2,44,10,12.2,0,0
1254077,1,81,5,31.8,2,0
1254077,2,28,8,19.875,0,0
1254078,1,36,10,12.3,0,0
1254078,2,66,6,21.0,1,0
1254079,1,54,6,28.5,1,0
1254079,2,78,5,34.0,1,0
1254080,1,106,4,42.75,1,1
1254080,2,129,4,43.25,1,1
1254081,1,66,5,34.2,2,0
1254081,2,63,4,43.0,1,0
1254082,1,45,7,22.0,0,0
1254082,2,132,4,39.0,1,1
1254083,1,80,6,29.833333333333332,2,0
1254083,2,48,9,16.11111111111111,0,0
1254084,1,108,5,43.6,2,2
1254084,2,89,7,31.285714285714285,2,0
1254085,1,150,4,55.0,1,1
1254085,2,57,9,18.333333333333332,1,0
1254086,1,52,7,23.714285714285715,1,0
1254086,2,63,4,41.75,1,0
1254087,1,31,10,9.2,0,0
1254087,2,82,2,47.0,1,0
1254088,1,80,10,23.5,1,0
1254088,2,64,9,21.444444444444443,2,0
1254089,1,57,5,37.8,2,0
1254089,2,89,4,47.5,2,0
1254090,1,73,8,20.5,2,0
1254090,2,91,7,22.571428571428573,1,0
1254091,1,35,8,16.75,0,0
1254091,2,75,5,27.8,1,0
1254092,1,37,9,14.11111111111111,0,0
1254092,2,29,8,16.25,0,0
