full_name,data_name,team_2026,role,venue,venue_bat_innings,venue_runs,venue_balls,venue_bat_avg,venue_bat_sr,venue_bowl_innings,venue_wickets,venue_econ,venue_bowl_sr,venue_bat_score,venue_bowl_score
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Brabourne Stadium, Mumbai",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Dr DY Patil Sports Academy, Mumbai",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,Dubai International Cricket Stadium,,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Eden Gardens, Kolkata",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"M Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Maharashtra Cricket Association Stadium, Pune",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Narendra Modi Stadium, Ahmedabad",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,Rajiv Gandhi International Stadium,,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,Sharjah Cricket Stadium,,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,Sheikh Zayed Stadium,,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Wankhede Stadium, Mumbai",,,,,,,,,,,
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Arun Jaitley Stadium, Delhi",1,0,2,0.0,0.0,,,,,0.0,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Brabourne Stadium, Mumbai",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Dr DY Patil Sports Academy, Mumbai",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,Dubai International Cricket Stadium,,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Eden Gardens, Kolkata",1,31,11,31.0,281.82,,,,,132.7,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"M Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Maharashtra Cricket Association Stadium, Pune",,,,,,,,,,,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Narendra Modi Stadium, Ahmedabad",1,37,19,37.0,194.74,,,,,111.2,
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",,,,,,,,,,,
